name_code	kingdom	phylum	class	order	family	genus	specificEpithet	scientificName	infraspecies	scientificNameAuthorship	rank	iucn_code
380541	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Sousa	chinensis	Sousa chinensis		Osbeck, 1765	species	DD
380544	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Stenella	longirostris	Stenella longirostris		Gray, 1828	species	LRcd
380538	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Orcinus	orca	Orcinus orca		Linnaeus, 1758	species	LRcd
380595	Animalia	Chordata	Mammalia	Rodentia	Muridae	Micromys	minutus	Micromys minutus		(Pallas, 1771)	species	LRnt
380591	Animalia	Chordata	Mammalia	Rodentia	Muridae	Apodemus	agrarius	Apodemus agrarius		(Pallas, 1771)	species	LRlc
380592	Animalia	Chordata	Mammalia	Rodentia	Muridae	Apodemus	semotus	Apodemus semotus		Thomas, 1908	species	LRnt
380593	Animalia	Chordata	Mammalia	Rodentia	Muridae	Bandicota	indica	Bandicota indica		(Bechstein, 1800)	species	LRlc
380578	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Vespertilio	sinensis	Vespertilio sinensis		Peters, 1880	species	LRlc
380520	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lutra	lutra	Lutra lutra		(Linnaeus, 1758)	species	NT
380554	Animalia	Chordata	Mammalia	Cetacea	Ziphiidae	Mesoplodon	densirostris	Mesoplodon densirostris		Blainville, 1817	species	DD
380556	Animalia	Chordata	Mammalia	Cetacea	Ziphiidae	Ziphius	cavirostris	Ziphius cavirostris		Cuvier	species	DD
380542	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Stenella	attenuata	Stenella attenuata		Gray, 1846	species	LRcd
201092	Plantae	Cycadophyta	Cycadopsida	Cycadales	Cycadaceae	Cycas	taitungensis	Cycas taitungensis		C. F. Shen, K. D. Hill, C. H. Tsou & C. J. Chen, 1994	species	VU
380555	Animalia	Chordata	Mammalia	Cetacea	Ziphiidae	Mesoplodon	ginkgodens	Mesoplodon ginkgodens		Nishiwaki & Kamiya, 1958	species	DD
380026	Animalia	Chordata	Amphibia	Anura	Microhylidae	Microhyla	heymonsi	Microhyla heymonsi		Vogt, 1911	species	LC
380025	Animalia	Chordata	Amphibia	Anura	Microhylidae	Microhyla	butleri	Microhyla butleri		Boulenger, 1901	species	LC
380055	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	sonani	Hynobius sonani		(Maki, 1922)	species	EN
380053	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	arisanensis	Hynobius arisanensis		Maki, 1922	species	VU
201106	Plantae	Coniferophyta	Pinopsida	Pinales	Pinaceae	Pinus	massoniana	Pinus massoniana		Lambert, 1803	species	LRlc
201120	Plantae	Coniferophyta	Pinopsida	Pinales	Taxodiaceae	Cunninghamia	konishii	Cunninghamia konishii		Hayata, 1908	species	VU
201121	Plantae	Coniferophyta	Pinopsida	Pinales	Taxodiaceae	Taiwania	cryptomerioides	Taiwania cryptomerioides		Hayata, 1906	species	VU
201093	Plantae	Coniferophyta	Pinopsida	Taxales	Taxaceae	Amentotaxus	formosana	Amentotaxus formosana		Li, 1952	species	CR
380620	Animalia	Chordata	Reptilia	Testudines	Trionychidae	Pelodiscus	sinensis	Pelodiscus sinensis		Wiegmann, 1835	species	VU
380028	Animalia	Chordata	Amphibia	Anura	Microhylidae	Micryletta	steinegeri	Micryletta steinegeri		(Boulenger, 1909)	species	EN
380535	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Globicephala	macrorhynchus	Globicephala macrorhynchus		Gray, 1846	species	LRcd
385000	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Delphinus	delphis	Delphinus delphis		Linnaeus, 1758	species	LRlc
380034	Animalia	Chordata	Amphibia	Anura	Dicroglossidae	Fejervarya	limnocharis	Fejervarya limnocharis		(Gravenhorst, 1829)	species	LC
380597	Animalia	Chordata	Mammalia	Rodentia	Muridae	Mus	caroli	Mus caroli		Bonhote, 1902	species	LRlc
201107	Plantae	Coniferophyta	Pinopsida	Pinales	Pinaceae	Pinus	morrisonicola	Pinus morrisonicola		Hayata, 1908	species	LRlc
385006	Animalia	Chordata	Amphibia	Anura	Ranidae	Pseudoamolops	multidenticulatus	Pseudoamolops multidenticulatus		(Chou & Lin, 1997)	species	LC
380568	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Murina	puta	Murina puta		Kishida, 1924	species	VU
380574	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Nyctalus	noctula	Nyctalus noctula		(Schreber, 1774)	species	LRlc
380576	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Plecotus	taivanus	Plecotus taivanus		(Yoshiyuki, 1991)	species	VU
380577	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Scotophilus	kuhlii	Scotophilus kuhlii		Leach, 1822	species	LRlc
380563	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Arielulus	torquatus	Arielulus torquatus		(Gabor & Lee, 1999)	species	DD
380616	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Eretmochelys	imbricata	Eretmochelys imbricata		Conant, 1991	species	CR
380617	Animalia	Chordata	Reptilia	Testudines	Cheloniidae	Lepidochelys	olivacea	Lepidochelys olivacea		Eschscholtz, 1829	species	EN
380035	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	longicrus	Rana longicrus		Stejneger, 1898	species	VU
201108	Plantae	Coniferophyta	Pinopsida	Pinales	Pinaceae	Pinus	taiwanensis	Pinus taiwanensis		Hayata, 1911	species	LRlc
201102	Plantae	Coniferophyta	Pinopsida	Pinales	Pinaceae	Abies	kawakamii	Abies kawakamii		(Hayata) Ito, 1909	species	LRnt
380054	Animalia	Chordata	Amphibia	Caudata	Hynobiidae	Hynobius	formosanus	Hynobius formosanus		Maki, 1922	species	EN
380021	Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	bankorensis	Bufo bankorensis		Barbour, 1908	species	LC
380023	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	chinensis	Hyla chinensis		Guenther, 1858	species	LC
380047	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Polypedates	megacephalus	Polypedates megacephalus		Hallowell, 1861	species	LC
380043	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Buergeria	japonica	Buergeria japonica		Hollowell, 1861	species	LC
380044	Animalia	Chordata	Amphibia	Anura	Rhacophoridae	Buergeria	robusta	Buergeria robusta		(Boulenger, 1909)	species	LC
380029	Animalia	Chordata	Amphibia	Anura	Ranidae	Babina	adenopleura	Babina adenopleura		(Boulenger, 1909)	species	LC
201101	Plantae	Coniferophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	squamata	Juniperus squamata		Buch.-Ham. apud Lamb., 1824	species	LRlc
201096	Plantae	Coniferophyta	Pinopsida	Pinales	Cupressaceae	Chamaecyparis	formosensis	Chamaecyparis formosensis		Matsum., 1901	species	EN
201118	Plantae	Coniferophyta	Pinopsida	Pinales	Podocarpaceae	Podocarpus	nakaii	Podocarpus nakaii		Hayata, 1916	species	EN
201104	Plantae	Coniferophyta	Pinopsida	Pinales	Pinaceae	Picea	morrisonicola	Picea morrisonicola		Hayata, 1908	species	VU
201094	Plantae	Coniferophyta	Pinopsida	Pinales	Cephalotaxaceae	Cephalotaxus	wilsoniana	Cephalotaxus wilsoniana		Hayata, 1914	species	EN
201114	Plantae	Coniferophyta	Pinopsida	Pinales	Podocarpaceae	Podocarpus	fasciculus	Podocarpus fasciculus		de Laubenfels, 1985	species	LRnt
201113	Plantae	Coniferophyta	Pinopsida	Pinales	Podocarpaceae	Podocarpus	costalis	Podocarpus costalis		Presl, 1849	species	EN
201112	Plantae	Coniferophyta	Pinopsida	Pinales	Podocarpaceae	Nageia	nagi	Nageia nagi		(Thunb.) O. Kuntze, 1891	species	DD
201100	Plantae	Coniferophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	formosana	Juniperus formosana		Hayata, 1908	species	LRlc
205628	Plantae	Lycopodiophyta	Lycopodiopsida	Isoetales	Isoetaceae	Isoetes	taiwanensis	Isoetes taiwanensis		DeVol, 1972	species	CR
