name_code	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	scientificNameAuthorship	scientificName	taxonRank
380162	Animalia	Chordata	Aves	Ciconiiformes	Glareolidae	Glareola	maldivarum		Forster, 1795	Glareola maldivarum  Forster, 1795	species
380163	Animalia	Chordata	Aves	Ciconiiformes	Jacanidae	Hydrophasianus	chirurgus		(Scopoli, 1786)	Hydrophasianus chirurgus  (Scopoli, 1786)	species
380164	Animalia	Chordata	Aves	Ciconiiformes	Laridae	Anous	stolidus	pileatus	(Linnaeus, 1758)	Anous stolidus pileatus (Linnaeus, 1758)	subspecies
380174	Animalia	Chordata	Aves	Ciconiiformes	Laridae	Larus	saundersi		(Swinhoe, 1871)	Larus saundersi  (Swinhoe, 1871)	species
380178	Animalia	Chordata	Aves	Ciconiiformes	Laridae	Sterna	albifrons	sinensis	Pallas, 1764	Sterna albifrons sinensis Pallas, 1764	subspecies
380179	Animalia	Chordata	Aves	Ciconiiformes	Laridae	Sterna	anaethetus	anaethetus	Scopoli, 1786	Sterna anaethetus anaethetus Scopoli, 1786	subspecies
380180	Animalia	Chordata	Aves	Ciconiiformes	Laridae	Sterna	bergii	cristata	Lichtenstein, 1823	Sterna bergii cristata Lichtenstein, 1823	subspecies
380182	Animalia	Chordata	Aves	Ciconiiformes	Laridae	Sterna	dougallii	bangsi	Montagu, 1813	Sterna dougallii bangsi Montagu, 1813	subspecies
380186	Animalia	Chordata	Aves	Ciconiiformes	Laridae	Sterna	sumatrana	sumatrana	Raffles, 1822	Sterna sumatrana sumatrana Raffles, 1822	subspecies
380210	Animalia	Chordata	Aves	Ciconiiformes	Rostratulidae	Rostratula	benghalensis	benghalensis	(Linnaeus, 1758)	Rostratula benghalensis benghalensis (Linnaeus, 1758)	subspecies
380223	Animalia	Chordata	Aves	Ciconiiformes	Scolopacidae	Eurynorhynchus	pygmeus		(Linnaeus, 1758)	Eurynorhynchus pygmeus  (Linnaeus, 1758)	species
380225	Animalia	Chordata	Aves	Ciconiiformes	Scolopacidae	Gallinago	hardwickii		(Gray, 1831)	Gallinago hardwickii  (Gray, 1831)	species
