name_code	common_name	type_id
203067	鵝鑾鼻決明	1
203080	紅花假地藍	1
203091	鵝鑾鼻野百合	1
203098	雙節山螞蝗	1
203102	疏花魚藤	1
203107	細葉山螞蝗	1
203122	苗栗野豇豆	1
203123	臺灣山黑扁豆	1
203124	臺灣山黑扁豆	1
203131	鴨腱藤	1
203132	臺灣鴨腱藤	1
203141	細花乳豆	1
203142	毛細花乳豆	1
203143	恆春皂莢	1
203144	扁豆莢大豆	1
203145	臺灣大豆	1
203153	貓鼻頭木藍	1
203155	腺葉木藍	1
203160	太魯閣木藍	1
203163	臺灣木藍	1
203179	臺灣馬鞍樹	1
203191	小葉魚藤	1
203195	大血藤	1
203203	恆春紅豆樹	1
203256	臺東葵草	1
203258	太魯閣千金榆	1
203259	阿里山千金榆	1
203260	蘭邯千金榆	1
203265	單刺苦櫧	1
203272	細刺苦櫧	1
203278	圓果青剛櫟	1
203279	佳保台圓果青剛櫟	1
203281	灰背櫟	1
203282	錐果櫟	1
203283	郭氏錐果櫟	1
203284	紫背錐果櫟	1
203285	錐果櫟	1
203286	赤柯	1
203289	波葉櫟	1
203292	狹葉櫟	1
203296	鬼石櫟	1
203300	柳葉石櫟	1
203301	臺灣石櫟	1
203307	大葉石櫟	1
203308	油葉石櫟	1
203309	南投石櫟	1
203310	浸水營石櫟	1
203322	太魯閣櫟	1
203323	銳葉高山櫟	1
203326	蘭嶼念珠藤	1
203328	臺灣念珠藤	1
203330	大錦蘭	1
203335	山橙	1
203339	臺灣絡石	1
203342	蘭嶼絡石	1
203348	蘭嶼牛皮消	1
203349	風不動	1
203352	布朗藤	1
203356	疏花鷗蔓	1
203358	臺灣鷗蔓	1
203360	阿里山龍膽	1
203362	黃斑龍膽	1
203363	鴛鴦湖龍膽	1
203364	高山龍膽	1
203365	伊澤山龍膽	1
203366	高雄龍膽	1
203367	黑斑龍膽	1
203368	玉山龍膽	1
203369	太魯閣龍膽	1
203370	塔塔加龍膽	1
203371	厚葉龍膽	1
203372	臺東龍膽	1
203373	奇萊肋柱花	1
203381	阿里山當藥	1
203384	高山當藥	1
203385	臺北肺形草	1
203386	高山肺形草	1
203387	玉山肺形草	1
203390	臺灣肺形草	1
203400	棣慕華鳳仙花	1
203401	黃花鳳仙花	1
203402	紫花鳳仙花	1
203406	單花牻牛兒苗	1
203409	山牻牛兒苗	1
203425	臺灣瑞木	1
203427	細葉蚊母樹	1
203433	臺灣八角	1
203437	阿里山五味子	1
203445	高山倒提壺	1
203454	山豆根	1
203464	臺灣附地草	1
203465	臺北附地草	1
203466	南湖附地草	1
203480	疏花風輪菜	1
203481	臺灣風輪菜	1
203484	臺灣白木草	1
203488	臺灣錐花	1
203496	大苞偏穗花	1
203513	臺灣假糙蘇	1
203515	絨萼舞子草	1
203518	臺灣刺蕊草	1
203523	阿里山紫花鼠尾草	1
203525	臺灣紫花鼠尾草	1
203526	蕨葉紫花鼠尾草	1
203527	早田氏鼠尾草	1
203529	隱藥鼠尾草	1
203530	黃花鼠尾草	1
203533	南臺灣黃芩	1
203536	布烈氏黃芩	1
203537	臺灣黃芩	1
203538	田代氏黃苓	1
203542	鈴木草	1
203544	臺灣香科科	1
203547	杜虹花	1
203548	六龜粗糠樹	1
203549	長葉杜虹花	1
203550	灰背葉紫珠	1
203554	細葉紫珠	1
203555	巒大紫珠	1
203556	疏花紫珠	1
203557	疏齒紫珠	1
203558	銳葉紫珠	1
203565	花蓮海州常山	1
